5.188.210.12 - - [28/Jan/2019:13:05:35 +0000] "\x05\x01\x00" 400 166 "-" "-"
5.188.210.12 - - [28/Jan/2019:13:07:26 +0000] "\x04\x01\x00P\x05\xBC\xD2\x0C\x00" 400 166 "-" "-"
5.188.210.12 - - [28/Jan/2019:13:08:35 +0000] "GET http://5.188.210.12/echo.php HTTP/1.1" 404 328 "https://www.google.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
137.110.60.113 - - [28/Jan/2019:15:55:54 +0000] "GET /nginxreport HTTP/1.1" 401 590 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
137.110.60.113 - sammy [28/Jan/2019:15:55:58 +0000] "GET /nginxreport HTTP/1.1" 200 98012 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
137.110.60.113 - sammy [28/Jan/2019:15:56:22 +0000] "GET /nginxreport HTTP/1.1" 200 98012 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
137.110.60.113 - sammy [28/Jan/2019:15:57:38 +0000] "GET / HTTP/1.1" 200 399 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
137.110.60.113 - sammy [28/Jan/2019:15:57:38 +0000] "GET /css/index.css HTTP/1.1" 200 186 "http://142.93.85.224:8082/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
137.110.60.113 - sammy [28/Jan/2019:15:57:38 +0000] "GET /css/font.css HTTP/1.1" 200 95 "http://142.93.85.224:8082/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
137.110.60.113 - sammy [28/Jan/2019:15:57:50 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
137.110.60.113 - sammy [28/Jan/2019:15:58:39 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
137.110.60.113 - sammy [28/Jan/2019:15:59:49 +0000] "GET /phpinfo HTTP/1.1" 200 22433 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
137.110.60.113 - sammy [28/Jan/2019:16:00:00 +0000] "GET /phpinfo.php HTTP/1.1" 200 22441 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
137.110.60.113 - sammy [28/Jan/2019:16:00:50 +0000] "GET /phpinfo.php HTTP/1.1" 200 22442 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
142.93.174.20 - - [28/Jan/2019:19:38:56 +0000] "GET / HTTP/1.1" 401 188 "-" "-"
142.93.174.20 - - [28/Jan/2019:19:38:57 +0000] "GET /ws_utc/resources/setting/options/general HTTP/1.1" 401 188 "-" "-"
142.93.174.20 - - [28/Jan/2019:19:38:57 +0000] "POST / HTTP/1.1" 401 590 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
142.93.174.20 - - [28/Jan/2019:19:38:57 +0000] "POST / HTTP/1.1" 401 590 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
142.93.174.20 - - [28/Jan/2019:19:38:58 +0000] "POST / HTTP/1.1" 401 590 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
142.93.174.20 - - [28/Jan/2019:19:38:58 +0000] "POST / HTTP/1.1" 401 590 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
